Title_Incident_Report,Segment,Location,Department_Area,Incident_Type,Process,Operation_Mode,Machine_Category,Machine_Type,Risk_Factor,Repeat_Incident,Maximum_Possible_Damage_Harm_Occurred,Employee_Type,Gender,Type_Of_Injury,Injured_Body_Part,Lost_Days,Damage_Harm_Sufficient_and_Correct_in_RA,accident type ,Date_fix
Leg Injury,Electric,ElJem,IR,A2-Injury with lost time,Other,Normal operation,Lifting Gear / conveyors,trolley,2.2 - Traffic routes,NO,NO,DRX,Female,Crush/Bruise,Leg,9.0,NO,Work related accident,30/01/2024
Head Injury,Electric,ElJem,MR,A2-Injury with lost time,Other,Maintenance,Work place / paths,the Guillot support,2.2 - Traffic routes,NO,NO,DRX,Male,Crush/Bruise,Head,4.0,NO,Work related accident,24/04/2024
Leg Injury from Falling Object,Electric,Jemmal,Logistics,A2-Injury with lost time,Logistics,Normal operation,Tools / Utilities,plastic box,4.4 - Parts moving uncontrolled,NO,YES,DRX,Male,Crush/Bruise,Leg,4.0,YES,Work related accident,06/03/2024
Eyebrow Injury,Electric,Jemmal,,A2-Injury with lost time,E-Final Assembly - Customer order,Normal operation,Metal Working Machine,IR table structure,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Male,Cut,Head,6.0,YES,Work related accident,21/03/2024
Thumb Injury with Swelling,Electric,Jemmal,IR,A2-Injury with lost time,E-Final Assembly - Customer order,Normal operation,Machine Tool,foaming machine mold,3.8 - Impeded handling of work equipment,NO,YES,DRX,Male,Sprain/Strain,Hand,4.0,YES,Work related accident,21/10/2024
Right Hand Injury with Swelling,Electric,Jemmal,Production,A2-Injury with lost time,Other,Normal operation,Work place / paths,Plastic box,3.8 - Impeded handling of work equipment,NO,NO,DRX,Male,Fracture,Hand,31.0,NO,Work related accident,16/11/2024
Connector-Related Wound,Electric,Jemmal,Production,A2-Injury with lost time,E-Assembly - Item number,Normal operation,Tools / Utilities,cable connector,3.8 - Impeded handling of work equipment,NO,YES,DRX,Male,Laceration,Hand,5.0,YES,Work related accident,06/12/2024
Head injury,Electric,Jemmal,Maintenance,A2-Injury with lost time,E-Final Assembly - Customer order,Maintenance,Tools / Utilities,feeding workstation,3.1 - Heavy physical work,NO,YES,DRX,Male,Crush/Bruise,Head,6.0,,Work related accident,26/10/2024
Trip and Fall,Electric,Jemmal,IR,A2-Injury with lost time,E-Assembly - Item number,Normal operation,Tools / Utilities,metal cart,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,YES,DRX,Female,Laceration,Hand,10.0,NO,Work related accident,30/01/2024
Foot Sprain,Electric,Jemmal,Changing room,A2-Injury with lost time,Other,Normal operation,Work place / paths,changing room floor,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,YES,DRX,Female,Sprain/Strain,Leg,13.0,YES,Non-work related accident,27/02/2024
Finger Injury with Swelling,Electric,Jemmal,Changing room,A2-Injury with lost time,Other,Normal operation,Tools / Utilities,changing room,2.1 - Working spaces,NO,YES,DRX,Male,Fracture,Hand,13.0,NO,Non-work related accident,15/08/2024
Back Sprain from Tripping,Electric,Jemmal,IR,A2-Injury with lost time,E-Final Assembly - Customer order,Normal operation,Work place / paths,anti fatigue mat,2.1 - Working spaces,NO,YES,DRX,Female,Sprain/Strain,Body,27.0,YES,Work related accident,02/12/2024
Back Sprain injury,Electric,Jemmal,Production,A2-Injury with lost time,E-Assembly - Item number,Normal operation,Work place / paths,,11.2 - Humans,NO,NO,DRX,Female,Sprain/Strain,Body,5.0,NO,Work related accident,14/11/2024
Facial Injury,Electric,Siliana,Production,A2-Injury with lost time,I-Production step 4 - bulk assembly - production cell,Normal operation,Tools / Utilities,,4.4 - Parts moving uncontrolled,NO,NO,DRX,Female,Stab wound,Head,5.0,NO,Work related accident,10/01/2024
Finger Pinch on Crimping Machine,Electric,Siliana,VK,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,Machine Tool,HANKE 11290/044,4.4 - Parts moving uncontrolled,NO,,DRX,Male,Cut,Hand,45.0,YES,Work related accident,10/10/2024
Right Shoulder Injury from Overloaded Cart,Electric,Siliana,Logistics,A2-Injury with lost time,Logistics,Normal operation,Lifting Gear / conveyors,,4.2 - Parts with hazardous surfaces,NO,,DRX,Male,,Hand,3.0,,Work related accident,27/05/2024
Eye Injury from Cable Pull,Electric,Siliana,ZSB,A2-Injury with lost time,E-Final Assembly - Customer order,Normal operation,,,4.2 - Parts with hazardous surfaces,NO,,DRX,Female,Other,Eye,7.0,,Work related accident,28/08/2024
Blade Holder Incident,Electric,Siliana,Logistics,A2-Injury with lost time,Logistics,Normal operation,Tools / Utilities,Blade Holder,4.2 - Parts with hazardous surfaces,NO,NO,DRX,Female,Stab wound,Hand,8.0,,Work related accident,18/09/2024
Eye Injury,Electric,Siliana,MR,A2-Injury with lost time,E-Final Assembly - Customer order,Normal operation,,,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Female,Other,Eye,7.0,YES,Work related accident,23/10/2024
Eye Injury,Electric,Siliana,MM,A2-Injury with lost time,E-Staging Pre-assembly - Detail Planning Group DPG,Normal operation,,,4.2 - Parts with hazardous surfaces,NO,YES,DRX,Female,Other,Eye,10.0,YES,Work related accident,24/10/2024
Hand Injury,Electric,Siliana,Maintenance,A2-Injury with lost time,Other,Maintenance,Wood and processing machines,,4.1 - Unprotected moving parts of machinery,NO,NO,DRX,Male,Stab wound,Hand,3.0,NO,Work related accident,17/02/2024
Improper Manual Handling,Electric,Siliana,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,3.1 - Heavy physical work,NO,YES,DRX,Male,Other,Body,7.0,YES,Work related accident,19/09/2024
Lower Back Pain from Heavy Load Handling,Electric,Siliana,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,3.1 - Heavy physical work,YES,YES,DRX,Male,Other,Body,15.0,,Work related accident,25/09/2024
Ankle injury,Electric,Siliana,Production,A2-Injury with lost time,I-Production step 4 - bulk assembly - production cell,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,,DRX,Female,Sprain/Strain,Foot,13.0,,Non-work related accident,21/03/2024
Left Hand injury,Electric,Siliana,Production,A2-Injury with lost time,Other,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",YES,,DRX,Female,Other,Hand,10.0,,Non-work related accident,22/05/2024
Fall from Inadequate Ladder,Electric,Siliana,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,,DRX,Male,Fracture,Hand,49.0,,Work related accident,21/09/2024
Elbow Fracture,Electric,Siliana,Production,A2-Injury with lost time,E-Assembly - Item number,Normal operation,Tools / Utilities,Three-hole expansion pliers (HWZ),11.2 - Humans,NO,,DRX,Female,Fracture,Hand,117.0,,Work related accident,05/02/2024
Handle-Related injury,Electric,Siliana,Production,A2-Injury with lost time,I-Production step 4 - bulk assembly - production cell,Normal operation,,,11.2 - Humans,NO,,DRX,Female,Other,Hand,14.0,,Non-work related accident,07/05/2024
Epileptic Seizure,Electric,Siliana,ZSB,A2-Injury with lost time,E-Assembly - Item number,Normal operation,,,11.2 - Humans,NO,,DRX,Female,Sprain/Strain,Hand,21.0,,Non-work related accident,28/05/2024
Adhesive Tape Cutting Machine Incident,Electric,Siliana,VK,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Maintenance,Machine Tool,Tesa spender,1.3 - Coordination of work,NO,,DRX,Female,Stab wound,Hand,10.0,,Work related accident,06/01/2024
Finger Sprain on Shafer Machine,Electric,Siliana,KS,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Malfunction,Power / Work Machine,Schafer-736,1.2 - Workplace-related operating instruction,NO,NO,DRX,Female,Sprain/Strain,Hand,21.0,NO,Non-work related accident,08/05/2024
Leg Fracture,Electric,Siliana,,A2-Injury with lost time,,,,,,,,,,,,8.0,,,01/01/2024
Shoulder Dislocation,Electric,Siliana,,A2-Injury with lost time,,,,,,,,,,,,2.0,,,01/01/2024
Hand Fracture,Electric,SousseMETS,KS,A2-Injury with lost time,Other,Normal operation,,KOMAX 253,4.4 - Parts moving uncontrolled,NO,,DRX,Male,Fracture,Hand,17.0,,Work related accident,27/11/2024
Right Arm Injury,Electric,SousseMETS,KS,A2-Injury with lost time,Other,Maintenance,Work place / paths,,3.10 - Workstations,NO,NO,DRX,Male,Crush/Bruise,Arm,11.0,,Work related accident,23/09/2024
Cervical Injuryfrom Fall,Electric,SousseMETS,Zeta,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,Work place / paths,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",YES,,DRX,Male,Crush/Bruise,Body,15.0,YES,Work related accident,06/03/2024
Right Eye Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,C-Back End (assembly),Normal operation,Work place / paths,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",YES,,DRX,Male,Crush/Bruise,Eye,8.0,YES,Work related accident,22/05/2024
Right Ankle Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,C-Back End (assembly),Normal operation,Work place / paths,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",NO,,DRX,Male,Crush/Bruise,Leg,14.0,,Non-work related accident,14/08/2024
Right Ankle injury,Electric,SousseMETS,Outside building,A2-Injury with lost time,Other,Normal operation,,,"2.3 - Falling on even ground, slipping, stumbling, twisting one’s ankle, missteps",,,DRX,Male,Sprain/Strain,Foot,11.0,,Non-work related accident,18/09/2024
Right Foot Sprain,Electric,SousseMETS,KS,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,Work place / paths,,2.2 - Traffic routes,NO,,DRX,Female,Sprain/Strain,Foot,9.0,YES,Work related accident,04/06/2024
Finger Fracture,Interior,SousseUATS,SI,A2-Injury with lost time,Other,Normal operation,Tools / Utilities,Fire fighting door,3.1 - Heavy physical work,NO,NO,DRX,Male,Fracture,Hand,36.0,NO,Work related accident,17/02/2024
Right Knee injury,Interior,SousseUATS,Production,A2-Injury with lost time,Other,Normal operation,Tools / Utilities,wooden pallet in the production process,"10.2 - Scope of action, responsibility",NO,NO,DRX,Male,Other,Leg,8.0,NO,Work related accident,08/10/2024
